Device Type,Device Family,Device Model,Recommended Software Version,Min. Supported Software Version ¹,Min. Cisco DNA Center Release,Cisco DNA Essentials license ²,Cisco DNA Advantage license,Inventory,Topology,SWIM,PnP,Cisco DNA Assurance,ENFV & Routing,Application Policy,Patching (SMU),IWAN,Cisco SD-Access³,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4T-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4T-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4TS-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4TS-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4TS-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8T67-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8T67P-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-N,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-16TC-G,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-16TC-GP,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-16TC-G-X,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-4S-G,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-4T-G,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-4TS-G,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-8TC-G,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 3000 Series Switches,IE-3000-4TC,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 3000 Series Switches,IE-3000-4TC-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 3000 Series Switches,IE-3000-8TC,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IOT Switch,Cisco Industrial Ethernet 3000 Series Switches,IE-3000-8TC-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2.10,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-16GT4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-16T4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-4GC4GP4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-4GS8GP4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-4S8P4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-4T4P4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-4TC4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-8GS4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-8GT4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-8GT8GP4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-8S4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4000 Series Switches,IE-4000-8T4G-E,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4010 Series Switches,IE-4010-16S12P,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 4010 Series Switches,IE-4010-4S24P,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 5000 Series Switches,IE-5000-12S12P-10G,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
IoT Switch,Cisco Industrial Ethernet 5000 Series Switches,IE-5000-16S12P,IOS 15.2(7)E0s,IOS 15.2(6)E1,1.2,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,NA,Y5,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1001-HX,IOS-XE 16.6.3,IOS-XE 16.3.1,1.0,Y,Y,Y,Y,Y,Y⁴,Y,N,Y,Y,Y,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1001-X,IOS-XE 16.6.3,IOS-XE 3.12.0,1.0,Y,Y,Y,Y,Y,Y⁴,Y,N,Y,Y,Y,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1002-HX,IOS-XE 16.6.3,IOS-XE 16.3.1,1.0,Y,Y,Y,Y,Y,Y⁴,Y,N,Y,Y,Y,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1002-X,IOS-XE 16.6.3,IOS-XE 3.7.0,1.0,Y,Y,Y,Y,Y,Y⁴,Y,N,Y,Y,Y,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1006-X (RP2),IOS-XE 16.6.3,IOS-XE 3.16.0,1.0,Y,Y,Y,Y,Y,Y⁴,Y,N,Y,Y,Y,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1006-X (RP3),IOS-XE 16.6.3,IOS-XE 16.3.1,1.0,Y,Y,Y,Y,Y,Y⁴,Y,N,Y,Y,Y,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1009-X (RP2),IOS-XE 16.6.3,IOS-XE 3.16.0,1.0,Y,Y,Y,Y,Y,Y⁴,N,N,Y,Y,N,Y,,
Router,Cisco 1000 Series Aggregation Services Routers,ASR 1009-X (RP3),IOS-XE 16.6.3,IOS-XE 16.3.1,1.0,Y,Y,Y,Y,Y,Y⁴,N,N,Y,Y,N,Y,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4P,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y, Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4P,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEP,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEP,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWA,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWA,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWB,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWB,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWD,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWD,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWE,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWE,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWF,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWF,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWH,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWH,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWN,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWN,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWQ,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWQ,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWR,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWR,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWZ,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1101-4PLTEPWZ,IOS-XE 16.8.1,IOS-XE 16.8.1,1.2,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,Y,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1111,IOS-XE 16.12.1a,IOS-XE 16.10.1,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,NA,,
Router,Cisco 1000 Series Integrated Services Routers,C1112-8P,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1112-8PLTEEA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8P,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PLTEEA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PLTEEAWE,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PLTELA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PLTELAWE,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PLTELAWZ,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PM,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PMLTEEA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PMWE,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PWA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PWE,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1113-8PWZ,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1114-8P,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1114-8PLTEEA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1115-8P,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1115-8PLTEEA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1115-8PM,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1115-8PMLTEEA,IOS-XE 16.7.1,IOS-XE 16.6.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,N,N,,
Router,Cisco 1000 Series Integrated Services Routers,C1121,IOS-XE 16.12.1a,IOS-XE 16.10.1,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,NA,,
Router,Cisco 1000 Series Integrated Services Routers,C1121X,IOS-XE 16.12.1a,IOS-XE 16.10.1,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,NA,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4221,IOS-XE 16.6.3,IOS-XE 16.4.2,1.1,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,N,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4321,IOS-XE 16.6.3,IOS-XE 3.16,1.2.5,Y,Y,Y,Y,Y,Y⁴,Y,Y,Y,Y,Y,Y,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4331,IOS-XE 16.6.3,IOS-XE 3.16,1.2.5,Y,Y,Y,Y,Y,Y⁴,Y,Y,Y,Y,Y,Y,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4351,IOS-XE 16.6.3,IOS-XE 3.16,1.1,Y,Y,Y,Y,Y,Y⁴,Y,Y,N,N,Y,Y,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4431,IOS-XE 16.6.3,IOS-XE 3.16,1.0,Y,Y,Y,Y,Y,Y⁴,Y,Y,Y,Y,Y,Y,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4451-X,IOS-XE 16.6.3,IOS-XE 3.16,1.0,N,Y,Y,Y,N,Y⁴,Y,Y,Y,Y,Y,Y,,
Router,Cisco 4000 Series Integrated Services Routers,ISR 4461,IOS-XE 16.6.3,IOS-XE 3.16,1.2.5,Y,Y,Y,Y,Y,Y⁴,Y,Y,Y,Y,Y,Y,,
Router,‎Cisco 800 Series Routers,C891FJ-K9,IOS 15.6(3)M5,IOS 15.5(3)M2,1.3,Y,N,Y,Y,Y,Y,Y,N,N,NA,NA,NA,,
Router,‎Cisco 800 Series Routers,C892FSP-K9,IOS 15.6(3)M5,IOS 15.5(3)M2,1.3,Y,N,Y,Y,Y,Y,Y,N,N,NA,NA,NA,,
Router,‎Cisco 900 Series Routers,C921 | C921J,IOS 15.8(3)M2,IOS 15.8(3)M1,1.3,Y,N,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,,
Router,‎Cisco 900 Series Routers,C931 | C931J,IOS 15.8(3)M2,IOS 15.8(3)M1,1.3,Y,N,Y,Y,Y,Y,Y,Y,N,NA,NA,NA,,
